iter	MAE
0	5.311070578
1	5.187841278
2	5.076360762
3	4.971000736
4	4.871782945
5	4.780762912
6	4.691379937
7	4.6090374
8	4.528800763
9	4.46053991
10	4.391128814
11	4.329221023
12	4.269511143
13	4.214173604
14	4.1614815
15	4.111551365
16	4.064903072
17	4.023042279
18	3.983469165
19	3.943931019
20	3.904913599
21	3.872824964
22	3.839152754
23	3.809079671
24	3.779249832
25	3.749901101
26	3.721899741
27	3.695953207
28	3.670929908
29	3.647639272
30	3.62480421
31	3.603884055
32	3.583232013
33	3.564582583
34	3.545997633
35	3.528593349
36	3.510785444
37	3.495005384
38	3.478785594
39	3.46384432
40	3.44620198
41	3.433400368
42	3.419763317
43	3.40735785
44	3.394383163
45	3.382583486
46	3.373481938
47	3.361243258
48	3.350442535
49	3.340027703
50	3.329552161
51	3.319331348
52	3.309834731
53	3.30104341
54	3.2929784
55	3.285281119
56	3.277317979
57	3.268879764
58	3.258804481
59	3.249976628
60	3.241614889
61	3.235056331
62	3.22748376
63	3.221491413
64	3.214626031
65	3.208166507
66	3.199434871
67	3.192281337
68	3.186106941
69	3.180637705
70	3.17441896
71	3.169670674
72	3.164309467
73	3.155920822
74	3.150524902
75	3.144717919
76	3.136683482
77	3.131534944
78	3.126022977
79	3.120328875
80	3.11533581
81	3.111093876
82	3.10651835
83	3.101433386
84	3.097545031
85	3.093818724
86	3.090465646
87	3.086300597
88	3.081929959
89	3.077605271
90	3.072953963
91	3.069633896
92	3.065555435
93	3.060514431
94	3.057048565
95	3.052651397
96	3.049547777
97	3.045148726
98	3.040076938
99	3.036049849
100	3.032513136
101	3.029336008
102	3.02591493
103	3.02261199
104	3.019022394
105	3.015438675
106	3.013066379
107	3.009831971
108	3.005537348
109	3.001174587
110	2.997158265
111	2.99439159
112	2.990922427
113	2.988301215
114	2.984918777
115	2.981650995
116	2.979022419
117	2.974940011
118	2.971532889
119	2.967129195
120	2.963824302
121	2.961274973
122	2.958341924
123	2.955699773
124	2.953012366
125	2.950584676
126	2.948049037
127	2.945762584
128	2.942855134
129	2.939956481
130	2.937328865
131	2.934802865
132	2.931423478
133	2.929096495
134	2.924877865
135	2.921964481
136	2.919605015
137	2.917075908
138	2.914431436
139	2.911598311
140	2.90987077
141	2.907024084
142	2.903946309
143	2.900717553
144	2.896753738
145	2.894619916
146	2.892200461
147	2.889911241
148	2.88676685
149	2.883541934
150	2.880577484
151	2.877759815
152	2.875404039
153	2.872381742
154	2.869478885
155	2.866946162
156	2.864278229
157	2.861228651
158	2.857804924
159	2.855721675
160	2.853397374
161	2.851108971
162	2.84794485
163	2.845541874
164	2.843578637
165	2.841725929
166	2.839338464
167	2.835961351
168	2.833760607
169	2.831882707
170	2.82970423
171	2.827771349
172	2.825062911
173	2.822787545
174	2.820792295
175	2.81765825
176	2.815673237
177	2.812460089
178	2.809961305
179	2.808249031
180	2.806432244
181	2.804326954
182	2.801871332
183	2.799774218
184	2.797984295
185	2.796077878
186	2.793998395
187	2.791827262
188	2.789166723
189	2.78673732
190	2.785079289
191	2.782509125
192	2.780696935
193	2.777727634
194	2.775635112
195	2.77358531
196	2.770808588
197	2.76790154
198	2.765428151
199	2.762446877
200	2.76043096
201	2.757748202
202	2.755661824
203	2.754297448
204	2.751929559
205	2.749456824
206	2.747173963
207	2.744802483
208	2.74275628
209	2.739961682
210	2.737789207
211	2.736100372
212	2.73432788
213	2.73195018
214	2.729223863
215	2.727617937
216	2.725470379
217	2.72376251
218	2.7216026
219	2.720121729
220	2.717553999
221	2.715643927
222	2.712872801
223	2.710674084
224	2.70807509
225	2.706125427
226	2.703721814
227	2.702203591
228	2.700047132
229	2.698286025
230	2.69640692
231	2.694312859
232	2.692431827
233	2.690198987
234	2.68859326
235	2.686090734
236	2.683636602
237	2.681282517
238	2.678804754
239	2.677530147
240	2.67520751
241	2.673815834
242	2.671583901
243	2.670306903
244	2.667169962
245	2.665375827
246	2.663041883
247	2.661539497
248	2.659970908
249	2.658032386
250	2.65695853
251	2.655234432
252	2.653205774
253	2.652001241
254	2.649880458
255	2.646656063
256	2.644726428
257	2.642223396
258	2.639605003
259	2.637169677
260	2.634985858
261	2.633197719
262	2.630334007
263	2.62831686
264	2.626564831
265	2.624603931
266	2.622137662
267	2.62050515
268	2.618422901
269	2.61630488
270	2.61463023
271	2.612695258
272	2.610502155
273	2.608230261
274	2.606510669
275	2.603690761
276	2.601802393
277	2.599639427
278	2.598348347
279	2.596462275
280	2.594129547
281	2.591850998
282	2.589564603
283	2.587513463
284	2.58514757
285	2.582602678
286	2.580333603
287	2.578183444
288	2.576356442
289	2.574949009
290	2.573693826
291	2.571697045
292	2.570049568
293	2.567964771
294	2.566146239
295	2.563526771
296	2.561712612
297	2.560392896
298	2.558635351
299	2.556563905
300	2.55489345
301	2.553714404
302	2.551436792
303	2.549626909
304	2.547475457
305	2.54590184
306	2.544378512
307	2.542452255
308	2.540426445
309	2.539122698
310	2.537724663
311	2.536148377
312	2.534218943
313	2.531841626
314	2.529637371
315	2.527744309
