iter	Passed	Remaining
0	16	16621
1	35	17503
2	59	19818
3	152	37924
4	197	39246
5	237	39347
6	252	35876
7	266	33137
8	281	30989
9	296	29417
10	316	28454
11	334	27540
12	349	26545
13	364	25710
14	380	24997
15	395	24331
16	411	23823
17	429	23442
18	451	23358
19	472	23164
20	491	22923
21	508	22616
22	526	22373
23	544	22169
24	562	21961
25	579	21749
26	597	21551
27	613	21335
28	628	21066
29	643	20830
30	660	20661
31	675	20461
32	691	20288
33	708	20156
34	724	19986
35	738	19783
36	753	19635
37	767	19454
38	782	19298
39	798	19182
40	822	19258
41	841	19224
42	860	19166
43	880	19148
44	897	19074
45	916	19022
46	932	18926
47	955	18979
48	978	19009
49	1003	19083
50	1022	19049
51	1037	18936
52	1052	18832
53	1068	18743
54	1084	18645
55	1101	18588
56	1115	18468
57	1130	18375
58	1145	18285
59	1160	18200
60	1177	18141
61	1192	18067
62	1208	17986
63	1226	17950
64	1249	17988
65	1266	17941
66	1285	17919
67	1318	18097
68	1340	18102
69	1358	18072
70	1383	18117
71	1398	18049
72	1415	18000
73	1430	17920
74	1446	17858
75	1461	17782
76	1477	17725
77	1489	17630
78	1505	17569
79	1519	17498
80	1537	17461
81	1551	17393
82	1567	17331
83	1581	17268
84	1597	17213
85	1612	17154
86	1626	17090
87	1642	17043
88	1661	17023
89	1676	16973
90	1692	16920
91	1706	16862
92	1720	16802
93	1735	16742
94	1753	16723
95	1768	16670
96	1781	16607
97	1798	16570
98	1814	16528
99	1830	16489
100	1844	16437
101	1859	16390
102	1875	16351
103	1890	16307
104	1905	16262
105	1922	16234
106	1938	16193
107	1956	16178
108	1972	16145
109	1996	16174
110	2010	16120
111	2024	16068
112	2039	16029
113	2056	16000
114	2071	15956
115	2086	15916
116	2103	15890
117	2118	15855
118	2136	15831
119	2151	15798
120	2171	15793
121	2188	15768
122	2205	15745
123	2222	15721
124	2237	15681
125	2253	15648
126	2268	15613
127	2284	15583
128	2300	15552
129	2315	15514
130	2331	15484
131	2348	15458
132	2363	15427
133	2382	15415
134	2403	15420
135	2420	15396
136	2436	15365
137	2456	15359
138	2478	15372
139	2497	15358
140	2516	15350
141	2535	15339
142	2552	15315
143	2572	15312
144	2592	15303
145	2611	15295
146	2635	15312
147	2657	15315
148	2679	15319
149	2702	15331
150	2726	15348
151	2745	15337
152	2763	15318
153	2783	15306
154	2802	15294
155	2821	15283
156	2842	15278
157	2861	15269
158	2883	15271
159	2902	15253
160	2919	15231
161	2936	15210
162	2953	15185
163	2970	15162
164	2987	15137
165	3002	15102
166	3021	15089
167	3036	15057
168	3058	15058
169	3108	15196
170	3140	15243
171	3181	15335
172	3207	15353
173	3234	15373
174	3265	15412
175	3293	15436
176	3318	15450
177	3344	15465
178	3366	15461
179	3389	15458
180	3410	15450
181	3433	15449
182	3458	15458
183	3480	15455
184	3503	15454
185	3525	15447
186	3546	15439
187	3570	15438
188	3731	16030
189	3820	16309
190	3922	16634
191	3953	16656
192	3997	16733
193	4038	16799
194	4063	16794
195	4085	16780
196	4114	16790
197	4139	16789
198	4160	16766
199	4181	16746
200	4200	16718
201	4217	16683
202	4236	16653
203	4254	16621
204	4270	16580
205	4284	16536
206	4300	16496
207	4315	16451
208	4331	16413
209	4347	16374
210	4361	16330
211	4376	16289
212	4392	16249
213	4411	16221
214	4429	16192
215	4448	16166
216	4466	16137
217	4484	16107
218	4508	16099
219	4526	16068
220	4544	16037
221	4560	16003
222	4584	15992
223	4619	16022
224	4642	16011
225	4663	15993
226	4711	16064
227	4793	16251
228	4833	16293
229	4850	16261
230	4866	16221
231	4882	16182
232	4898	16145
233	4913	16105
234	4930	16072
235	4946	16033
